"id","equip_id","equip_type","equip_name","equip_field","guksa_name","up_down","link_equip_id","link_equip_type","link_equip_name","link_equip_field","link_guksa_name","link_name","cable_aroot","cable_broot"
530,청산R1-MSPP-L-1101-01-01_한전도서망,MSPP,청산R1-MSPP-L-1101-01-01_한전도서망,전송,청산R1,down,완도국사_1#[도서_청산도] FTTH#2-R 2 SYS,소용량 OLT,S_F085,IP,양중R1,청산R1-양중R1-FO-0001,"","
"
335,청산도_청산R1:통합형-0201-01_IP-20N-8G-(1/2),IP-20,청산도_청산R1:통합형-0201-01_IP-20N-8G-(1/2),MW,청산R1,up,완도중_완도중:통합형-0303_IP-10G-8G-(1/2),IP-20,완도중_완도중:통합형-0303_IP-10G-8G-(1/2),MW,완도중,완도중-청산R1-MW-000001,"","
"
336,청산도_청산R1:통합형-0201-01_IP-20N-8G-(1/2),IP-20,청산도_청산R1:통합형-0201-01_IP-20N-8G-(1/2),MW,청산R1,up,완도중_완도중:통합형-0407-03_IP-20N-8G-(1/2),IP-20,완도중_완도중:통합형-0407-03_IP-20N-8G-(1/2),MW,완도중,완도중-청산R1-MW-20N_1,"","
"
337,청산도_청산R1:통합형-0201-02_IP-20N-8G-(1/2),IP-20,청산도_청산R1:통합형-0201-02_IP-20N-8G-(1/2),MW,청산R1,up,완도중_완도중:통합형-0407-04_IP-20N-8G-(1/2),IP-20,완도중_완도중:통합형-0407-04_IP-20N-8G-(1/2),MW,완도중,완도중-청산R1-MW-20N2_1,"","
"
389,초도_Chodo_Naro_f1_IP-20C-6GU-(1/2),IP-20,초도_Chodo_Naro_f1_IP-20C-6GU-(1/2),MW,초도R1,up,나로중_나로중 통합형-0501-05_IP-20C-6GU-(1/2),IP-20,나로중_나로중 통합형-0501-05_IP-20C-6GU-(1/2),MW,나로중,나로중-초도R1-MW-20C-1S,"","
"
387,초도_Chodo_Naro_f3_IP-20C-6GU-(1/2),IP-20,초도_Chodo_Naro_f3_IP-20C-6GU-(1/2),MW,초도R1,up,나로중_나로중 통합형-0501-06_IP-20C-6GU-(1/2),IP-20,나로중_나로중 통합형-0501-06_IP-20C-6GU-(1/2),MW,나로중,나로중-초도R1-MW-20C-2S,"","
"
388,초도상산봉_초도상상-서도-20N-D_IP-20N-D-8G-(1/S///////2////3),IP-20,초도상산봉_초도상상-서도-20N-D_IP-20N-D-8G-(1/S///////2////3),MW,초도R1,up,나로중_나로중 MDM-0501-01_CTR-8312-11G-(1/2),CTR,나로중_나로중 MDM-0501-01_CTR-8312-11G-(1/2),MW,나로중,나로중-초도R1-MW-CTR,"","
"
463,충도_충도R1:0199_CTR-8540-8G-(//1/2),CTR,충도_충도R1:0199_CTR-8540-8G-(//1/2),MW,충도R1,up,금일중_금일R1:MDM-0202-06_CTR-8312-8G-(1/2),CTR,금일중_금일R1:MDM-0202-06_CTR-8312-8G-(1/2),MW,금일R1,금일R1-충도R1-10-CTR,"","
"
482,충도_충도R1:0199_CTR-8540-8G-(//1/2),CTR,충도_충도R1:0199_CTR-8540-8G-(//1/2),MW,충도R1,up,금일중_금일R1:MDM-0202-06_CTR-8312-8G-(1/2),CTR,금일중_금일R1:MDM-0202-06_CTR-8312-8G-(1/2),MW,금일R1,금일R1-충도R1-10-CTR,"","
"
462,충도_충도R1:MDM-0101_ECLIPSE-INUe-11G-(1///P1),ECLIPSE,충도_충도R1:MDM-0101_ECLIPSE-INUe-11G-(1///P1),MW,충도R1,up,금일중_금일R1:MDM-0203_ECLIPSE-INUe-11G-(1///P1),ECLIPSE,금일중_금일R1:MDM-0203_ECLIPSE-INUe-11G-(1///P1),MW,금일R1,금일R1-충도R1-MW-000001,"","
"
