id	sector	guksa_id	equip_type	equip_model	equip_name	equip_id
12305	MW	386	CTR	CTR-8540	격포_Kyukpo-SangWangdeung_CTR-8540-8G-(//1/2)	격포_Kyukpo-SangWangdeung_CTR-8540-8G-(//1/2) 
12306	MW	1119	CTR	CTR-8540	상왕등도_SangWangDeung-Kyukpo_CTR-8540-8G-(//1/2)	상왕등도_SangWangDeung-Kyukpo_CTR-8540-8G-(//1/2) 
12307	MW	110	CTR	CTR-8540	군산무선국_(군무-방축)CTR-8540[1]_CTR-8540-8G-(//1/2)	군산무선국_(군무-방축)CTR-8540[1]_CTR-8540-8G-(//1/2) 
12308	MW	460	CTR	CTR-8540	방축도_(방축-군산)CTR-8540[1]_CTR-8540-8G-(//1/2)	방축도_(방축-군산)CTR-8540[1]_CTR-8540-8G-(//1/2) 
12309	MW	463	IP-20	IP-20N-D	선유도_(선유-어청)IP-20N_IP-20N-D-8G-(1/S/2/S/3/S///4/S/5/S/6/S)	선유도_(선유-어청)IP-20N_IP-20N-D-8G-(1/S/2/S/3/S///4/S/5/S/6/S) 
12310	MW	466	IP-20	IP-20N-D	어청도_(어청-선유)IP-20N_IP-20N-D-8G-(1/S/2/S/3/S///4/S/5/S/6/S)	어청도_(어청-선유)IP-20N_IP-20N-D-8G-(1/S/2/S/3/S///4/S/5/S/6/S) 
12311	MW	110	CTR	CTR-8540	군산무선국_(군무-비안)CTR-8540[1]_CTR-8540-8G-(//1/2)	군산무선국_(군무-비안)CTR-8540[1]_CTR-8540-8G-(//1/2) 
12312	MW	111	CTR	CTR-8540	비안도_(비안-군무)CTR-8540[1]_CTR-8540-8G-(//1/2)	비안도_(비안-군무)CTR-8540[1]_CTR-8540-8G-(//1/2) 
12313	MW	110	CTR	CTR-8540	군산무선국_(군무-방축)CTR-8540[2]_CTR-8540-8G-(//3/4)	군산무선국_(군무-방축)CTR-8540[2]_CTR-8540-8G-(//3/4) 
12314	MW	460	CTR	CTR-8540	방축도_Bangchuk-Gunsan-8540-2_CTR-8540-8G-(//1/2)	방축도_Bangchuk-Gunsan-8540-2_CTR-8540-8G-(//1/2) 
12315	MW	460	CTR	CTR-8540	방축도_Bangchukdo-Gwanrido-8540_CTR-8540-11G-(//1/2)	방축도_Bangchukdo-Gwanrido-8540_CTR-8540-11G-(//1/2) 
