id	sector	guksa_id	equip_type	equip_model	equip_name	equip_id
12424	MW	558	ECLIPSE	ECLIPSE-INUe	도초중_MDM-0106_ECLIPSE-INUe-11G-(1///2)	도초중_MDM-0106_ECLIPSE-INUe-11G-(1///2) 
12425	MW	608	ECLIPSE	ECLIPSE-INUe	장병도_MDM-0101_ECLIPSE-INUe-11G-(1///2)	장병도_MDM-0101_ECLIPSE-INUe-11G-(1///2) 
12426	MW	592	IP-20	IP-20N	양을중_통합형-0201-01_IP-20N-8G-(1/2)	양을중_통합형-0201-01_IP-20N-8G-(1/2) 
12427	MW	568	IP-20	IP-20N	병풍도_통합형-0102-01_IP-20N-8G-(1/2)	병풍도_통합형-0102-01_IP-20N-8G-(1/2) 
12428	MW	580	IP-20	IP-20N	송공_통합형-0105-01_IP-20N-11G-(1/2/3)	송공_통합형-0105-01_IP-20N-11G-(1/2/3) 
12429	MW	562	IP-20	IP-20N	매화도_통합형-0104-01_IP-20N-8G-(1/2/3)	매화도_통합형-0104-01_IP-20N-8G-(1/2/3) 
12430	MW	589	IP-20	IP-20N	안좌중_통합형-0208-01_IP-20N-8G-(1/2)	안좌중_통합형-0208-01_IP-20N-8G-(1/2) 
12431	MW	609	IP-20	IP-20N	장산도_통합형-0105-05_IP-20N-8G-(1/2)	장산도_통합형-0105-05_IP-20N-8G-(1/2) 
12432	MW	935	CTR	CTR-8312	진도중_MDM-0101-01_CTR-8312-11G-(1)	진도중_MDM-0101-01_CTR-8312-11G-(1) 
12433	MW	1123	CTR	CTR-8312	율도(도초)_MDM-0101-01_CTR-8312-11G-(1)	율도(도초)_MDM-0101-01_CTR-8312-11G-(1) 
12434	MW	927	CTR	CTR-8312	접도_MDM-0102-01_CTR-8312-8G-(1/2)	접도_MDM-0102-01_CTR-8312-8G-(1/2) 
12435	MW	906	CTR	CTR-8312	독거슬도_MDM-0101-03_CTR-8312-8G-(1/2)	독거슬도_MDM-0101-03_CTR-8312-8G-(1/2) 
12436	MW	935	CTR	CTR-8312	진도중_MDM-0101-02_CTR-8312-11G-(1/2)	진도중_MDM-0101-02_CTR-8312-11G-(1/2) 
12437	MW	611	CTR	CTR-8312	저도(진도)_MDM-0101-01_CTR-8312-11G-(1/2)	저도(진도)_MDM-0101-01_CTR-8312-11G-(1/2) 
12438	MW	935	IP-20	IP-20N	진도중_통합형0401-01_IP-20N-8G-(1/2/3)	진도중_통합형0401-01_IP-20N-8G-(1/2/3) 
12439	MW	914	IP-20	IP-20N	상조도_통합형-0301-04_IP-20N-8G-(1/2/3)	상조도_통합형-0301-04_IP-20N-8G-(1/2/3) 
12440	MW	914	IP-20	IP-20N	상조도_통합형-0301-01_IP-20N-11G-(1/2/3/4)	상조도_통합형-0301-01_IP-20N-11G-(1/2/3/4) 
12441	MW	908	IP-20	IP-20N	동거차도_통합형-0102-01_IP-20N-11G-(1/2/3/4)	동거차도_통합형-0102-01_IP-20N-11G-(1/2/3/4) 
12442	MW	911	CTR	CTR-8312	맹골곽도_MDM-0101-01_CTR-8312-8G-(1/2)	맹골곽도_MDM-0101-01_CTR-8312-8G-(1/2) 
12443	MW	914	CTR	CTR-8312	상조도_MDM-0401-01_CTR-8312-8G-(1/2)	상조도_MDM-0401-01_CTR-8312-8G-(1/2) 
12444	MW	1120	IP-20	IP-20N	맹골도_통합형-0101-01_IP-20N-11G-(1/2)	맹골도_통합형-0101-01_IP-20N-11G-(1/2) 
12445	MW	910	IP-20	IP-20N	맹골죽도_통합형-0101-01_IP-20N-11G-(1/2)	맹골죽도_통합형-0101-01_IP-20N-11G-(1/2) 
12446	MW	592	IP-20	IP-20N	양을중_통합형-0508-01_IP-20N-8G-(1/2/3/4)	양을중_통합형-0508-01_IP-20N-8G-(1/2/3/4) 
12447	MW	558	IP-20	IP-20N	도초중_통합형-0206-03_IP-20N-8G-(1/2/3/4)	도초중_통합형-0206-03_IP-20N-8G-(1/2/3/4) 
12448	MW	628	CTR	CTR-8540	흑산도_MDM-0312-01_CTR-8540-8G-(//1/2/3/4)	흑산도_MDM-0312-01_CTR-8540-8G-(//1/2/3/4) 
12449	MW	561	CTR	CTR-8540	만재도_MDM-0101-01_CTR-8540-8G-(//1/2/3/4)	만재도_MDM-0101-01_CTR-8540-8G-(//1/2/3/4) 
12450	MW	914	CTR	CTR-8312	상조도_MDM-0101-04_CTR-8312-11G-(1/2)	상조도_MDM-0101-04_CTR-8312-11G-(1/2) 
12451	MW	1107	CTR	CTR-8312	외병도_MDM-0101-01_CTR-8312-11G-(1/2)	외병도_MDM-0101-01_CTR-8312-11G-(1/2) 
12452	MW	558	CTR	CTR-8312	도초중_MDM-0101-03_CTR-8312-11G-(1/2)	도초중_MDM-0101-03_CTR-8312-11G-(1/2) 
12453	MW	1122	CTR	CTR-8312	개도(목포)_MDM-0101-01_CTR-8312-11G-(1/2)	개도(목포)_MDM-0101-01_CTR-8312-11G-(1/2) 
12454	MW	927	CTR	CTR-8312	접도_MDM-0103-01_CTR-8312-11G-(1/2)	접도_MDM-0103-01_CTR-8312-11G-(1/2) 
12455	MW	923	CTR	CTR-8312	의신모도_MDM-0101-01_CTR-8312-11G-(1/2)	의신모도_MDM-0101-01_CTR-8312-11G-(1/2) 
12456	MW	589	CDM	CDM-SMR-IP+	안좌중_CDM-0106-01_CDM-SMR-IP+-8G-(1/2)	안좌중_CDM-0106-01_CDM-SMR-IP+-8G-(1/2) 
12457	MW	588	CDM	CDM-SMR-IP+	신의도_CDM-0105-01_CDM-SMR-IP+-8G-(1/2)	신의도_CDM-0105-01_CDM-SMR-IP+-8G-(1/2) 
12458	MW	558	CTR	CTR-8540	도초중_MDM-0106-02_CTR-8540-8G-(//1/2)	도초중_MDM-0106-02_CTR-8540-8G-(//1/2) 
12459	MW	599	CTR	CTR-8540	우이도_MDM-0101-02_CTR-8540-8G-(//1/2)	우이도_MDM-0101-02_CTR-8540-8G-(//1/2) 
12460	MW	580	CTR	CTR-8540	송공_MDM-0104-01_CTR-8540-11G-(//1/2)	송공_MDM-0104-01_CTR-8540-11G-(//1/2) 
12461	MW	551	CTR	CTR-8540	당사도(목포)_MDM-0101-02_CTR-8540-11G-(//1/2)	당사도(목포)_MDM-0101-02_CTR-8540-11G-(//1/2) 
12462	MW	558	IP-20	IP-20N-D	도초중_통합형-0110-02_IP-20N-D-8G-(1/2)	도초중_통합형-0110-02_IP-20N-D-8G-(1/2) 
12463	MW	628	IP-20	IP-20N-D	흑산도_톨합형-0301-02_IP-20N-D-8G-(1/2)	흑산도_톨합형-0301-02_IP-20N-D-8G-(1/2) 
12464	MW	592	CTR	CTR-8540	양을중_MDM-1007-01_CTR-8540-8G-(//1/2)	양을중_MDM-1007-01_CTR-8540-8G-(//1/2) 
12465	MW	545	CTR	CTR-8540	고이도_MDM-0102-01_CTR-8540-8G-(//1/2)	고이도_MDM-0102-01_CTR-8540-8G-(//1/2) 
12466	MW	592	CTR	CTR-8540	양을중_MDM-1007-12_CTR-8540-11G-(//1/2)	양을중_MDM-1007-12_CTR-8540-11G-(//1/2) 
12467	MW	600	CTR	CTR-8540	율도(목포)_MDM-0202-01_CTR-8540-11G-(//1/2)	율도(목포)_MDM-0202-01_CTR-8540-11G-(//1/2) 
12468	MW	589	IP-20	IP-20N	안좌중_통합형-0201-03_IP-20N-11G-(1/2/3/4/5/6)	안좌중_통합형-0201-03_IP-20N-11G-(1/2/3/4/5/6) 
12469	MW	558	IP-20	IP-20N	도초중_통합형-0205-03_IP-20N-11G-(1/2/3/4/5/6)	도초중_통합형-0205-03_IP-20N-11G-(1/2/3/4/5/6) 
12470	MW	927	IP-20	IP-20F	접도_통합형-0105-02_IP-20F-11G-(1/2)	접도_통합형-0105-02_IP-20F-11G-(1/2) 
12471	MW	939	IP-20	IP-20F	하구자도_통합형-0101-01_IP-20F-11G-(1/2)	하구자도_통합형-0101-01_IP-20F-11G-(1/2) 
12472	MW	596	IP-20	IP-20F	옥도_통합형-0102-01_IP-20F-11G-(1/2)	옥도_통합형-0102-01_IP-20F-11G-(1/2) 
12473	MW	558	IP-20	IP-20F	도초중_통합형-0206-04_IP-20F-11G-(1/2)	도초중_통합형-0206-04_IP-20F-11G-(1/2) 
12474	MW	600	IP-20	IP-20F	율도(목포)_통합형-0102-02_IP-20F-11G-(1/2)	율도(목포)_통합형-0102-02_IP-20F-11G-(1/2) 
12475	MW	597	IP-20	IP-20F	외달도_통합형-0101-02_IP-20F-11G-(1/2)	외달도_통합형-0101-02_IP-20F-11G-(1/2) 
12476	MW	935	IP-20	IP-20F	진도중_통합형-0305-02_IP-20F-11G-(1/2)	진도중_통합형-0305-02_IP-20F-11G-(1/2) 
12477	MW	620	IP-20	IP-20F	평사도_통합형-0101-01_IP-20F-11G-(1/2)	평사도_통합형-0101-01_IP-20F-11G-(1/2) 
12478	MW	914	IP-20	IP-20N-D	상조도_통합형-0301-05_IP-20N-D-4G -(1/2/3/4)	상조도_통합형-0301-05_IP-20N-D-4G -(1/2/3/4) 
12479	MW	542	IP-20	IP-20N-D	가거도_통합형-0102-02_IP-20N-D-4G -(1/2/3/4)	가거도_통합형-0102-02_IP-20N-D-4G -(1/2/3/4) 
12480	MW	580	CTR	CTR-8540	송공_MDM-0104-02_CTR-8540-11G-(//1/2)	송공_MDM-0104-02_CTR-8540-11G-(//1/2) 
12481	MW	551	CTR	CTR-8540	당사도(목포)_MDM-0101-03_CTR-8540-11G-(//1/2)	당사도(목포)_MDM-0101-03_CTR-8540-11G-(//1/2) 
12482	MW	558	CTR	CTR-8540	도초중_MDM-0101-04_CTR-8540-8G-(//1/2)	도초중_MDM-0101-04_CTR-8540-8G-(//1/2) 
12483	MW	599	CTR	CTR-8540	우이도_MDM-0101-01_CTR-8540-8G-(//1/2)	우이도_MDM-0101-01_CTR-8540-8G-(//1/2) 
12484	MW	545	CTR	CTR-8540	고이도_MDM-0101-01_CTR-8540-8G-(//1/2)	고이도_MDM-0101-01_CTR-8540-8G-(//1/2) 
12485	MW	592	CTR	CTR-8540	양을중_MDM-1007-03_CTR-8540-8G-(//1/2)	양을중_MDM-1007-03_CTR-8540-8G-(//1/2) 
12486	MW	935	CTR	CTR-8540	진도중_MDM-0101-03_CTR-8540-8G-(//1/2)	진도중_MDM-0101-03_CTR-8540-8G-(//1/2) 
12487	MW	889	CTR	CTR-8540	가사도_MDM-0201-03_CTR-8540-8G-(//1/2)	가사도_MDM-0201-03_CTR-8540-8G-(//1/2) 
12488	MW	577	CTR	CTR-8540	서우이_MDM-0101-01_CTR-8540-8G-(//1/2)	서우이_MDM-0101-01_CTR-8540-8G-(//1/2) 
12489	MW	558	CTR	CTR-8540	도초중_MDM-0101-05_CTR-8540-8G-(//1/2)	도초중_MDM-0101-05_CTR-8540-8G-(//1/2) 
12490	MW	607	CTR	CTR-8540	장도(흑산)_MDM-0101-01_CTR-8540-11G-(//1/2)	장도(흑산)_MDM-0101-01_CTR-8540-11G-(//1/2) 
12491	MW	547	CTR	CTR-8540	곤촌_MDM-0101-01_CTR-8540-11G-(//1/2)	곤촌_MDM-0101-01_CTR-8540-11G-(//1/2) 
12492	MW	628	IP-20	IP-20F	흑산도_통합형-0310-02_IP-20F-11G-(1/2)	흑산도_통합형-0310-02_IP-20F-11G-(1/2) 
12493	MW	595	IP-20	IP-20F	영산도_통합형-0101-02_IP-20F-11G-(1/2)	영산도_통합형-0101-02_IP-20F-11G-(1/2) 
12494	MW	558	IP-20	IP-20F	도초중_통합형-0207-02_IP-20F-11G-(3/4)	도초중_통합형-0207-02_IP-20F-11G-(3/4) 
12495	MW	596	IP-20	IP-20F	옥도_통합형-0102-02_IP-20F-11G-(3/4)	옥도_통합형-0102-02_IP-20F-11G-(3/4) 
12496	MW	914	IP-20	IP-20N-D	상조도_통합형-0301-06_IP-20N-D-8G-(1/2/3/4)	상조도_통합형-0301-06_IP-20N-D-8G-(1/2/3/4) 
12497	MW	1099	IP-20	IP-20N-D	도솔봉_통합형-0101-02_IP-20N-D-8G-(1/2/3/4)	도솔봉_통합형-0101-02_IP-20N-D-8G-(1/2/3/4) 
12498	MW	935	IP-20	IP-20N-D	진도중_통합형-0403-03_IP-20N-D-4G -(1/2/3/4)	진도중_통합형-0403-03_IP-20N-D-4G -(1/2/3/4) 
12499	MW	935	IP-20	IP-20N-D	진도중_통합형-0403-02_IP-20N-D-8G-(1/2/3/4/5/6)	진도중_통합형-0403-02_IP-20N-D-8G-(1/2/3/4/5/6) 
12500	MW	1124	IP-20	IP-20N-D	하의기지국_통합형-0101-01_IP-20N-D-8G-(1/2/3/4/5/6)	하의기지국_통합형-0101-01_IP-20N-D-8G-(1/2/3/4/5/6) 
12501	MW	628	IP-20	IP-20N-D	흑산도_통합형-0312-02_IP-20N-D-4G -(1/2/3/4)	흑산도_통합형-0312-02_IP-20N-D-4G -(1/2/3/4) 
12502	MW	935	IP-20	IP-20N	진도중_통합형-0304-01_IP-20N-6GL-(1/2/3/4)	진도중_통합형-0304-01_IP-20N-6GL-(1/2/3/4) 
12503	MW	628	IP-20	IP-20N	흑산도_통합형-0301-03_IP-20N-6GL-(1/2/3/4)	흑산도_통합형-0301-03_IP-20N-6GL-(1/2/3/4) 
12504	MW	628	IP-20	IP-20N-D	흑산도_통합형-0312-03_IP-20N-D-11G-(1/2)	흑산도_통합형-0312-03_IP-20N-D-11G-(1/2) 
12505	MW	549	IP-20	IP-20N-D	다물도_통합형-0102-03_IP-20N-D-11G-(1/2)	다물도_통합형-0102-03_IP-20N-D-11G-(1/2) 
12506	MW	914	IP-20	IP-20N	상조도_통합형-0202-02_IP-20N-11G-(1/2/3/4)	상조도_통합형-0202-02_IP-20N-11G-(1/2/3/4) 
12507	MW	661	IP-20	IP-20N	대마도_통합형-0101-01_IP-20N-11G-(1/2/3/4)	대마도_통합형-0101-01_IP-20N-11G-(1/2/3/4) 
12508	MW	914	IP-20	IP-20N	상조도_통합형-0301-02_IP-20N-11G-(1/2/3/4)	상조도_통합형-0301-02_IP-20N-11G-(1/2/3/4) 
12509	MW	1101	IP-20	IP-20N	서거차도_통합형-0101-01_IP-20N-11G-(1/2/3/4)	서거차도_통합형-0101-01_IP-20N-11G-(1/2/3/4) 
12510	MW	592	IP-20	IP-20N-D	양을중_통합형-0507-02_IP-20N-D-8G-(1/2)	양을중_통합형-0507-02_IP-20N-D-8G-(1/2) 
12511	MW	568	IP-20	IP-20N-D	병풍도_통합형-0102-02_IP-20N-D-8G-(1/2)	병풍도_통합형-0102-02_IP-20N-D-8G-(1/2) 
12512	MW	558	CTR	CTR-8540	도초중_MDM-0106-03_CTR-8540-11G-(//1/2)	도초중_MDM-0106-03_CTR-8540-11G-(//1/2) 
12513	MW	586	CTR	CTR-8540	신도(목포)_MDM-0101-02_CTR-8540-11G-(//1/2)	신도(목포)_MDM-0101-02_CTR-8540-11G-(//1/2) 
12514	MW	927	IP-20	IP-20N	접도_통합형-0103-03_IP-20N-8G-(1/2/3/4)	접도_통합형-0103-03_IP-20N-8G-(1/2/3/4) 
12515	MW	906	IP-20	IP-20N	독거도_통합형-0101-01_IP-20N-8G-(1/2/3/4)	독거도_통합형-0101-01_IP-20N-8G-(1/2/3/4) 
12516	MW	603	IP-20	IP-20N-D	임자중_통합형-0203-03_IP-20N-D-11G-(1/2/3/4)	임자중_통합형-0203-03_IP-20N-D-11G-(1/2/3/4) 
12517	MW	610	IP-20	IP-20N-D	재원도_통합형-0102-02_IP-20N-D-11G-(1/2/3/4)	재원도_통합형-0102-02_IP-20N-D-11G-(1/2/3/4) 
12518	MW	589	IP-20	IP-20F	안좌중_통합형-0103-05_IP-20F-11G-(1/2)	안좌중_통합형-0103-05_IP-20F-11G-(1/2) 
12519	MW	621	IP-20	IP-20F	하수치_통합형-0101-01_IP-20F-11G-(1/2)	하수치_통합형-0101-01_IP-20F-11G-(1/2) 
12520	MW	628	IP-20	IP-20N-D	흑산도_통합형-0312-04_IP-20N-D-8G-(1/2)	흑산도_통합형-0312-04_IP-20N-D-8G-(1/2) 
12521	MW	625	IP-20	IP-20N-D	홍도_통합형-0105-02_IP-20N-D-8G-(1/2)	홍도_통합형-0105-02_IP-20N-D-8G-(1/2) 
12522	MW	591	CTR	CTR-8540	압해도_MDM-0101-01_CTR-8540-11G-(//1/2)	압해도_MDM-0101-01_CTR-8540-11G-(//1/2) 
12523	MW	1005	CTR	CTR-8540	마산도_MASAN_CTR-8540-11G-(//1/2)	마산도_MASAN_CTR-8540-11G-(//1/2) 
12524	MW	592	CTR	CTR-8540	양을중_MDM-0101-02_CTR-8540-11G-(//1/2)	양을중_MDM-0101-02_CTR-8540-11G-(//1/2) 
12525	MW	600	CTR	CTR-8540	율도(목포)_MDM-0102-03_CTR-8540-11G-(//1/2)	율도(목포)_MDM-0102-03_CTR-8540-11G-(//1/2) 
12526	MW	580	CTR	CTR-8540	송공_MDM-0104-03_CTR-8540-11G-(//1/2)	송공_MDM-0104-03_CTR-8540-11G-(//1/2) 
12527	MW	579	CTR	CTR-8540	소악도_MDM-0101-01_CTR-8540-11G-(//1/2)	소악도_MDM-0101-01_CTR-8540-11G-(//1/2) 
12528	MW	603	IP-20	IP-20N-D	임자중_통합형-0203-04_IP-20N-D-11G-(1/2)	임자중_통합형-0203-04_IP-20N-D-11G-(1/2) 
12529	MW	593	IP-20	IP-20N-D	어의도(목포)_통합형-0101-01_IP-20N-D-11G-(1/2)	어의도(목포)_통합형-0101-01_IP-20N-D-11G-(1/2) 
12530	MW	935	IP-20	IP-20N	진도중_통합형-0404-01_IP-20N-6GU-(1/2/3/4)	진도중_통합형-0404-01_IP-20N-6GU-(1/2/3/4) 
12531	MW	1109	IP-20	IP-20N	하조도_통합형-0106-01_IP-20N-6GU-(1/2/3/4)	하조도_통합형-0106-01_IP-20N-6GU-(1/2/3/4) 
12532	MW	576	IP-20	IP-20N-D	상태도_통합형-0101-01_IP-20N-D-11G-(1/2)	상태도_통합형-0101-01_IP-20N-D-11G-(1/2) 
12533	MW	623	IP-20	IP-20N-D	하태도_통합형-0302-02_IP-20N-D-11G-(1/2)	하태도_통합형-0302-02_IP-20N-D-11G-(1/2) 
12534	MW	552	IP-20	IP-20N-D	대둔도_통합형-0103-01_IP-20N-D-11G-(1/2/3//4)	대둔도_통합형-0103-01_IP-20N-D-11G-(1/2/3//4) 
12535	MW	549	IP-20	IP-20N-D	다물도_통합형-0102-02_IP-20N-D-11G-(1/2/3//4)	다물도_통합형-0102-02_IP-20N-D-11G-(1/2/3//4) 
12536	MW	592	CTR	CTR-8540	양을중_Yangyeul-Dallee-8540_CTR-8540-11G-(1/2/3/4)	양을중_Yangyeul-Dallee-8540_CTR-8540-11G-(1/2/3/4) 
12537	MW	550	CTR	CTR-8540	달리도_Dallee-Yangyeul-8540_CTR-8540-11G-(1/2/3/4)	달리도_Dallee-Yangyeul-8540_CTR-8540-11G-(1/2/3/4) 
12538	MW	901	CTR	CTR-8540	금호도_Gumhodo-Jupdo-8540_CTR-8540-11G-(1/2)	금호도_Gumhodo-Jupdo-8540_CTR-8540-11G-(1/2) 
12539	MW	927	CTR	CTR-8540	접도_Jupdo-Gumhodo-8540_CTR-8540-11G-(1/2)	접도_Jupdo-Gumhodo-8540_CTR-8540-11G-(1/2) 
12540	MW	558	CTR	CTR-8312	도초중_Jupdo-Geedo-8312_CTR-8312-11G-(1)	도초중_Jupdo-Geedo-8312_CTR-8312-11G-(1) 
12541	MW	548	CTR	CTR-8312	기도_Guudo-Jupdo-8312_CTR-8312-11G-(1)	기도_Guudo-Jupdo-8312_CTR-8312-11G-(1) 
12542	MW	927	CTR	CTR-8312	접도_Jupdo-Sangguja_CTR-8312-11G-(1)	접도_Jupdo-Sangguja_CTR-8312-11G-(1) 
12543	MW	913	CTR	CTR-8312	상구자도_Sangguja-Jupdo_CTR-8312-11G-(1)	상구자도_Sangguja-Jupdo_CTR-8312-11G-(1) 
12544	MW	620	CTR	CTR-8312	평사도_Pyungsa-Gosa-8312_CTR-8312-11G-(1)	평사도_Pyungsa-Gosa-8312_CTR-8312-11G-(1) 
12545	MW	544	CTR	CTR-8312	고사도_Gosa-Pyungsa-8312_CTR-8312-11G-(1)	고사도_Gosa-Pyungsa-8312_CTR-8312-11G-(1) 
12546	MW	895	CTR	CTR-8540	관매도_MDM-0101-02_CTR-8540-11G-(1/2)	관매도_MDM-0101-02_CTR-8540-11G-(1/2) 
12547	MW	895	CTR	CTR-8540	관매도_MDM-0101-01_CTR-8540-11G-(1/1)	관매도_MDM-0101-01_CTR-8540-11G-(1/1) 
12548	MW	914	CTR	CTR-8540	상조도_MDM-0302-01_CTR-8540-11G-(1/2)	상조도_MDM-0302-01_CTR-8540-11G-(1/2) 
12549	MW	914	CTR	CTR-8540	상조도_MDM-0302-02_CTR-8540-11G-(1/2)	상조도_MDM-0302-02_CTR-8540-11G-(1/2) 
12550	MW	614	CTR	CTR-8540	증도_MDM-0301-01_CTR-8540-11G-(1/2/3/4)	증도_MDM-0301-01_CTR-8540-11G-(1/2/3/4) 
12551	MW	578	CTR	CTR-8540	선도_MDM-0101-01_CTR-8540-11G-(1/2/3/4)	선도_MDM-0101-01_CTR-8540-11G-(1/2/3/4) 
12552	MW	580	IP-20	IP-20N-D	송공_Songong-Maehwa-20n-d_IP-20N-D-11G-(1/2)	송공_Songong-Maehwa-20n-d_IP-20N-D-11G-(1/2) 
12553	MW	562	IP-20	IP-20N-D	매화도_통합형-0104-02_IP-20N-D-11G-(1/2)	매화도_통합형-0104-02_IP-20N-D-11G-(1/2) 
12554	MW	589	CTR	CTR-8540	안좌중_MDM-0306-01_CTR-8540-11G-(1/2)	안좌중_MDM-0306-01_CTR-8540-11G-(1/2) 
12555	MW	565	CTR	CTR-8540	반월도_MDM-0101-01_CTR-8540-11G-(1/2)	반월도_MDM-0101-01_CTR-8540-11G-(1/2) 
12556	MW	573	CTR	CTR-8540	사옥도_Saokdo-Tando-8540_CTR-8540-11G-(1/2)	사옥도_Saokdo-Tando-8540_CTR-8540-11G-(1/2) 
12557	MW	617	CTR	CTR-8540	탄도_Tando-Saokdo-8540_CTR-8540-11G-(1/2)	탄도_Tando-Saokdo-8540_CTR-8540-11G-(1/2) 
12558	MW	914	IP-20	IP-20N	상조도_통합형-0301-07_IP-20N-11G-(1/2/3/4)	상조도_통합형-0301-07_IP-20N-11G-(1/2/3/4) 
12559	MW	896	IP-20	IP-20N	관사도_Gwansado-Sangjodo-20n_IP-20N-11G-(1/2/3/4)	관사도_Gwansado-Sangjodo-20n_IP-20N-11G-(1/2/3/4) 
12560	MW	914	CTR	CTR-8540	상조도_MDM-0302-03_CTR-8540-11G-(1/2/3/4)	상조도_MDM-0302-03_CTR-8540-11G-(1/2/3/4) 
12561	MW	910	CTR	CTR-8540	맹골죽도_MDM-0101-02_CTR-8540-11G-(1/2/3/4)	맹골죽도_MDM-0101-02_CTR-8540-11G-(1/2/3/4) 
12562	MW	915	CTR	CTR-8312	성남도_seongnamdo-Sangjodo-CTR8312_CTR-8312-11G-(1)	성남도_seongnamdo-Sangjodo-CTR8312_CTR-8312-11G-(1) 
12563	MW	914	CTR	CTR-8312	상조도_Sangjodo-seongnamdo-8312_CTR-8312-11G-(1)	상조도_Sangjodo-seongnamdo-8312_CTR-8312-11G-(1) 
12564	MW	903	CTR	CTR-8540	내병도_Naebyungdo-Sangjodo-8540_CTR-8540-11G-(1/2)	내병도_Naebyungdo-Sangjodo-8540_CTR-8540-11G-(1/2) 
12565	MW	914	CTR	CTR-8540	상조도_Sangjodo-Maedo-8540_CTR-8540-11G-(1/2)	상조도_Sangjodo-Maedo-8540_CTR-8540-11G-(1/2) 
12566	MW	914	CTR	CTR-8540	상조도_Sangjodo-Jinmokdo-8540_CTR-8540-11G-(1/2)	상조도_Sangjodo-Jinmokdo-8540_CTR-8540-11G-(1/2) 
12567	MW	936	CTR	CTR-8540	진목도_Junmok-Sanjodo-8540_CTR-8540-11G-(1/2)	진목도_Junmok-Sanjodo-8540_CTR-8540-11G-(1/2) 
12568	MW	914	CTR	CTR-8540	상조도_Sangjodo-Jomodo-8540_CTR-8540-11G-(1/2)	상조도_Sangjodo-Jomodo-8540_CTR-8540-11G-(1/2) 
12569	MW	928	CTR	CTR-8540	조도모도_Jomodo-Sangjodo-8540_CTR-8540-11G-(1/2)	조도모도_Jomodo-Sangjodo-8540_CTR-8540-11G-(1/2) 
12570	MW	914	CTR	CTR-8540	상조도_Sangjodo-Nolokdo-8540_CTR-8540-11G-(1/2)	상조도_Sangjodo-Nolokdo-8540_CTR-8540-11G-(1/2) 
12571	MW	904	CTR	CTR-8540	눌옥도_Nolokdo-Sangjodo-8540_CTR-8540-11G-(1/2)	눌옥도_Nolokdo-Sangjodo-8540_CTR-8540-11G-(1/2) 
12572	MW	558	CTR	CTR-8312	도초중_Dochodo-Munbyungdo-8312_CTR-8312-11G-(1)	도초중_Dochodo-Munbyungdo-8312_CTR-8312-11G-(1) 
12573	MW	563	CTR	CTR-8312	문병도_Munbyungdo-Dochodo-8312_CTR-8312-11G-(1)	문병도_Munbyungdo-Dochodo-8312_CTR-8312-11G-(1) 
12574	MW	935	IP-20	IP-20N	진도중_통합형-0303-01_IP-20N-6GL-(1/2/3/4)	진도중_통합형-0303-01_IP-20N-6GL-(1/2/3/4) 
12575	MW	628	IP-20	IP-20N	흑산도_통합형-0101-01_IP-20N-6GL-(1/2/3/4)	흑산도_통합형-0101-01_IP-20N-6GL-(1/2/3/4) 
12576	MW	558	IP-20	IP-20N	도초중_통합형-0202-01_IP-20N-11G-(1/2)	도초중_통합형-0202-01_IP-20N-11G-(1/2) 
12577	MW	574	IP-20	IP-20N	사치도_통합형-0101-01_IP-20N-11G-(1/2)	사치도_통합형-0101-01_IP-20N-11G-(1/2) 
12578	MW	589	IP-20	IP-20N	안좌중_통합형-0202-01_IP-20N-8G-(1/2)	안좌중_통합형-0202-01_IP-20N-8G-(1/2) 
12579	MW	560	IP-20	IP-20N	마진도_통합형-0101-01_IP-20N-8G-(1/2)	마진도_통합형-0101-01_IP-20N-8G-(1/2) 
